Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Computer programming,Programming languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Primary language,projectName
6644c9ad6a4b9cdc1478d579,5f0da6848c9769018bb99f27,APPROVED,Not Applicable,2024-05-15T14:41:49.992000Z,2024-05-15T14:56:58.160000Z,2024-05-16T01:48:16.513000Z,2024-05-15T14:56:59.016532Z,909.0,C8MRP57T,980,Yes,"Java, Javascript, HTML, SQL, TypeScript, CSS",34,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,"Italian, English",online-easy_remove_duplicates-with-b3
6645685835a985828f199204,6426ef0c682f3da7f5bb5471,APPROVED,Not Applicable,2024-05-16T01:59:31.591000Z,2024-05-16T02:18:06.239000Z,2024-05-16T15:06:20.323000Z,2024-05-16T02:20:03.217514Z,1115.0,C8MRP57T,68,Yes,"C#, CSS, Javascript, HTML, Python, SQL",26,Prefer not to say,White,Australia,Australia,Australia,English,Yes,Full-Time,English,online-easy_remove_duplicates-with-b3
661a2c3a966934a75e1c5004,5f209641ae86003b679bb43f,APPROVED,Not Applicable,2024-04-13T06:54:54.364000Z,2024-04-13T07:12:18.172000Z,2024-05-04T00:00:36.296000Z,2024-04-13T07:12:18.902573Z,1044.0,C8MRP57T,182,Yes,"Java, Javascript, R, Python",25,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,,online-easy_remove_duplicates-with
661a2c8b66d320de4d31a32b,60f801efc0846c47e4e755e6,APPROVED,Not Applicable,2024-04-13T06:56:11.356000Z,2024-04-13T07:35:24.603000Z,2024-05-04T00:00:39.016000Z,2024-04-13T07:36:25.703272Z,2354.0,C8MRP57T,625,Yes,"Javascript, Java, Python, R",23,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking),,online-easy_remove_duplicates-with
661a2ce85122903a80040af8,5929c96027ea400001301061,APPROVED,Not Applicable,2024-04-13T06:57:44.115000Z,2024-04-13T07:19:27.668000Z,2024-05-04T00:00:48.301000Z,2024-04-13T07:20:11.823494Z,1304.0,C8MRP57T,1181,Yes,"Javascript, HTML, PHP, SQL",52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED,,online-easy_remove_duplicates-with
661a2f7ed2e34221e75986c7,5ee890fabb763018d1ad774e,APPROVED,Not Applicable,2024-04-13T07:08:46.016000Z,2024-04-13T07:21:04.470000Z,2024-05-04T00:00:48.716000Z,2024-04-13T07:21:05.076994Z,739.0,C8MRP57T,480,Yes,"C and C++, CSS, Javascript, HTML, Python, Ruby, SQL, TypeScript",25,Male,Asian,Canada,Canada,Canada,English,No,Part-Time,,online-easy_remove_duplicates-with
6637f3e87c4fcec16ca4693e,661f84bf573acf3a4825c023,APPROVED,Not Applicable,2024-05-05T21:02:56.979000Z,2024-05-05T21:33:41.995000Z,2024-05-14T09:44:28.093000Z,2024-05-05T21:36:03.233705Z,1846.0,C8MRP57T,35,Yes,"SQL, Python, Matlab, Javascript, Java, C and C++, CSS",31,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,English,online-easy_remove_duplicates-without-b2
6637f5e758077e6061b632e2,6159e83b6407a6d5345d3b99,APPROVED,Not Applicable,2024-05-05T21:11:03.144000Z,2024-05-05T21:32:57.190000Z,2024-05-14T09:44:28.578000Z,2024-05-05T21:32:57.719021Z,1315.0,C8MRP57T,118,Yes,"Java, Javascript, HTML, TypeScript",26,Male,Black,South Africa,South Africa,South Africa,English,No,Full-Time,"English, Other",online-easy_remove_duplicates-without-b2
6637fa79d86773a9acac55fd,5dfb75507caa1e89ad5df828,APPROVED,Not Applicable,2024-05-05T21:30:33.213000Z,2024-05-05T21:37:50.702000Z,2024-05-14T09:44:28.772000Z,2024-05-05T21:37:51.519884Z,438.0,C8MRP57T,935,Yes,"C and C++, C#, CSS, Javascript, HTML, Matlab, PHP, Python, SQL, Java",28,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time,"English, Portuguese, Spanish",online-easy_remove_duplicates-without-b2
663bd435d2d3c911fffd100f,65a96f2c5e9b2019bd4dc2bc,APPROVED,Not Applicable,2024-05-08T19:36:21.781000Z,2024-05-08T19:58:40.131000Z,2024-05-14T09:44:29.028000Z,2024-05-08T19:58:40.747740Z,1339.0,C8MRP57T,86,Yes,"Java, Javascript, HTML, Python, SQL",34,Male,White,France,France,France,French,No,Full-Time,"French, English",online-easy_remove_duplicates-without-b2
